variant,input_shape,parameter_count,pte_size_bytes,total_sram_kib,offchip_flash_kib,delegated_subgraphs,delegated_nodes,npu_operators,cpu_operators,fvp_mode,fvp_status,fvp_output,reference_top1,fvp_top1,max_abs_error,reliable_cycles_or_time,notes
default,"(1, 3, 96, 96)",23844,31712,78.203125,25.328125,1,29,7,0,embedded-PTE,PASS,"[-0.020373, 0.067080, -0.059627, 0.062111]",1,1,0,Corstone-300 FVP ethosu_pmu_cycle_cntr=247546; not E84 board timing,FVP runner ethos-u cycle_cnt=18048; export_log=/home/zwb/work/ethosu_tinycnn/tinycnn/build/variants/default/export.log; fvp_log=/home/zwb/work/ethosu_tinycnn/tinycnn/build/variants/default/fvp_embedded.log
size,"(1, 3, 96, 96)",23844,36432,54,25.328125,1,29,7,0,embedded-PTE,PASS,"[-0.020373, 0.067080, -0.059627, 0.062111]",1,1,0,Corstone-300 FVP ethosu_pmu_cycle_cntr=475583; not E84 board timing,Vela --optimise=Size; reduced SRAM but increased PTE/off-chip traffic; FVP runner ethos-u cycle_cnt=18048; export_log=/home/zwb/work/ethosu_tinycnn/tinycnn/build/variants/size/export.log; fvp_log=/home/zwb/work/ethosu_tinycnn/tinycnn/build/variants/size/fvp_embedded.log
input_64,"(1, 3, 64, 64)",23844,31120,48.21875,25.34375,1,29,7,0,embedded-PTE,PASS,"[-0.020281, 0.067272, -0.058863, 0.060842]",1,1,N/A,Corstone-300 FVP ethosu_pmu_cycle_cntr=119909; not E84 board timing,controlled 64x64 input experiment; output is not compared numerically to 96x96; FVP runner ethos-u cycle_cnt=9408; export_log=/home/zwb/work/ethosu_tinycnn/tinycnn/build/variants/input_64/export.log; fvp_log=/home/zwb/work/ethosu_tinycnn/tinycnn/build/variants/input_64/fvp_embedded.log
